Date,Open,High,Low,Close,ChannelLow,ChannelHigh,PivotType,PivotValue
2024-01-29 16:30:00,167.57,167.71,166.6,167.13,385.01509082793564,276.3627419448426,Undefined,0
2024-01-29 17:00:00,167.05,167.19,165.9,166.47,402.55678916193256,290.3765021200388,Undefined,0
2024-01-29 17:30:00,166.34,166.54,165.28,165.63,420.0984874959295,304.3902622952346,Undefined,0
2024-01-29 18:00:00,165.7,166.0,164.6,165.74,437.64018582992594,318.40402247043085,Undefined,0
2024-01-29 18:30:00,165.65,170.0,165.11,169.48,455.18188416392286,332.41778264562663,High,170.001
2024-01-29 19:00:00,169.41,169.74,168.25,168.73,472.7235824979198,346.43154282082287,Undefined,0
2024-01-29 19:30:00,168.78,168.81,167.79,168.11,490.2652808319167,360.44530299601865,Undefined,0
2024-01-29 20:00:00,168.1,168.83,166.47,166.81,507.8069791659136,374.4590631712149,Undefined,0
2024-01-29 20:30:00,166.78,168.21,166.62,168.06,525.3486774999105,388.4728233464107,Undefined,0
2024-01-29 21:00:00,168.22,168.22,167.05,167.08,542.8903758339075,402.4865835216069,Undefined,0
2024-01-29 21:30:00,167.02,168.34,166.93,167.96,560.4320741679039,416.5003436968027,Undefined,0
2024-01-29 22:00:00,167.96,168.11,167.1,167.14,577.9737725019008,430.51410387199894,Undefined,0
2024-01-29 22:30:00,167.21,167.46,166.47,166.9,595.5154708358978,444.5278640471947,Undefined,0
2024-01-29 23:00:00,166.92,166.92,165.85,166.08,613.0571691698947,458.54162422239096,Low,165.849
2024-01-29 23:30:00,165.91,167.05,165.9,167.05,630.5988675038916,472.55538439758675,Undefined,0
2024-01-30 00:00:00,167.0,167.85,166.8,167.41,648.1405658378885,486.569144572783,Undefined,0
2024-01-30 00:30:00,167.39,168.16,167.22,168.02,665.6822641718854,500.5829047479788,Undefined,0
2024-01-30 01:00:00,167.94,168.31,166.83,167.55,683.2239625058819,514.596664923175,,
2024-01-30 01:30:00,167.56,167.62,167.15,167.54,700.7656608398788,528.6104250983708,,
2024-01-30 02:00:00,167.51,168.01,167.29,167.88,718.3073591738757,542.624185273567,,
2024-01-30 02:30:00,167.77,167.8,166.68,167.46,735.8490575078727,556.6379454487628,,
2024-01-30 03:00:00,167.49,167.86,167.02,167.19,753.3907558418696,570.6517056239591,,
2024-01-30 03:30:00,167.07,168.24,166.91,168.02,770.9324541758665,584.6654657991548,,
2024-01-30 04:00:00,167.99,168.27,167.76,168.02,788.474152509863,598.6792259743511,,
